probability_0,probability_1,classification
0.6621449,0.3378551,0
0.46552336,0.5344766,1
0.64485615,0.35514373,0
0.45081002,0.5491901,1
0.7385508,0.26144922,0
0.5731094,0.42689055,0
0.6706029,0.32939717,0
0.41818482,0.5818151,1
0.46561223,0.53438777,1
0.6537072,0.34629276,0
0.4168186,0.5831814,1
0.42880014,0.57119983,1
0.7654218,0.2345782,0
0.7007641,0.29923588,0
0.6200469,0.37995312,0
0.7825904,0.21740969,0
0.5992939,0.40070605,0
0.43552253,0.5644775,1
0.80162543,0.1983745,0
0.6649919,0.3350081,0
0.524647,0.47535306,0
0.69065976,0.3093401,0
0.6039766,0.39602342,0
0.5131891,0.48681086,0
0.67629033,0.32370964,0
0.46950632,0.5304937,1
0.5562746,0.44372535,0
0.53297716,0.46702278,0
0.49385136,0.50614864,1
0.47643223,0.5235678,1
0.7055332,0.29446682,0
0.49309838,0.5069017,1
0.40737587,0.59262407,1
0.40679413,0.5932059,1
0.8037819,0.19621806,0
0.43247566,0.5675244,1
0.69714737,0.30285263,0
0.42536423,0.5746358,1
0.6899838,0.31001624,0
0.66297406,0.3370259,0
0.64660305,0.35339692,0
0.32840142,0.6715986,1
0.41015586,0.58984405,1
0.34921324,0.6507868,1
0.37612528,0.62387466,1
0.41936207,0.5806379,1
0.70234466,0.29765522,0
0.4113385,0.58866143,1
0.71904105,0.28095898,0
0.73783624,0.26216376,0
0.6248103,0.3751897,0
0.6216908,0.3783092,0
0.67728716,0.32271284,0
0.6418676,0.35813245,0
0.35187602,0.648124,1
0.6726221,0.3273779,0
0.6602418,0.33975828,0
0.39068007,0.60932,1
0.32100973,0.6789902,1
0.6394805,0.36051956,0
0.7336454,0.26635468,0
0.66349375,0.33650613,0
0.76409245,0.23590754,0
0.38566515,0.6143348,1
0.7067366,0.29326338,0
0.37190667,0.62809324,1
0.69139314,0.30860695,0
0.4354885,0.56451154,1
0.40459356,0.5954065,1
0.7693924,0.23060764,0
0.67953163,0.3204684,0
0.43025768,0.56974226,1
0.71792394,0.28207606,0
0.6549772,0.34502274,0
0.45960045,0.54039955,1
0.42815888,0.57184106,1
0.39590698,0.60409296,1
0.42638305,0.5736169,1
0.6243861,0.3756139,0
0.6003988,0.3996012,0
0.38337344,0.61662656,1
0.3749567,0.6250432,1
0.3810114,0.6189886,1
0.62952,0.37048003,0
0.76985705,0.2301429,0
0.36714706,0.6328529,1
0.46687335,0.53312653,1
0.4907719,0.50922817,1
0.4616277,0.5383723,1
0.61245406,0.38754594,0
0.6441677,0.35583225,0
0.5122961,0.48770398,0
0.78189445,0.2181055,0
0.64863825,0.3513617,0
0.5982811,0.40171888,0
0.7218343,0.2781658,0
0.75573194,0.24426799,0
0.4965877,0.5034123,1
0.64268655,0.35731345,0
0.42352235,0.5764776,1
0.40658286,0.59341705,1
0.39343026,0.60656977,1
0.48447296,0.51552707,1
0.36505502,0.6349449,1
0.6301724,0.36982757,0
0.42232805,0.577672,1
0.657746,0.3422539,0
0.7530984,0.2469015,0
0.43370792,0.5662921,1
0.43882087,0.56117904,1
0.50809634,0.49190366,0
0.36877006,0.63122994,1
0.6694306,0.33056936,0
0.44677952,0.55322045,1
0.7687706,0.23122936,0
0.4464236,0.5535764,1
0.3664436,0.6335564,1
0.41914013,0.5808599,1
0.38056433,0.61943567,1
0.66674477,0.3332552,0
0.6198749,0.3801251,0
0.6143371,0.38566288,0
0.4029793,0.5970206,1
0.6230463,0.37695363,0
0.3741637,0.6258363,1
0.4093131,0.59068686,1
0.39410427,0.6058957,1
0.72805375,0.27194616,0
0.69984895,0.30015102,0
0.71279794,0.28720203,0
0.6313563,0.36864367,0
0.75896865,0.24103124,0
0.64794487,0.3520551,0
0.36019912,0.6398008,1
0.64257914,0.35742083,0
0.56827426,0.43172574,0
0.6197382,0.38026184,0
0.6914931,0.30850685,0
0.6783158,0.32168412,0
0.4921842,0.5078159,1
0.37793893,0.622061,1
0.66365576,0.33634418,0
0.6749564,0.3250436,0
0.6605955,0.33940452,0
0.4266391,0.57336086,1
0.43808308,0.561917,1
0.6834961,0.3165038,0
0.40426266,0.5957373,1
0.63698006,0.36302,0
0.36208358,0.6379165,1
0.4032242,0.59677577,1
0.4063911,0.5936088,1
0.44395378,0.55604625,1
0.5936142,0.40638584,0
0.57490015,0.42509982,0
0.77141094,0.22858906,0
